ssm,Education,Earnings,Prestige,Status,DSEI,TSEI,MSEI,FSEI,TSEI_E,MSEI_E,FSEI_E,TSEI_I,MSEI_I,FSEI_I,OPR,OEP,SIOPS,ISEI,ICAMS,GOEP
501,16.958535677068184,6.438411368494428,72,70.5,68.257042,70.80791058125,74.560463375,58.36562425,55.40019464375,55.19285387499999,56.96778575,64.3762812125,71.32609225,52.435125,88.2503427080354,84,63,69,75.42,80
502,17.267958862652442,6.335160947176594,72,75.599998,71.246132,69.87617624375,71.941792875,60.07373225,70.2823773625,67.6657945,63.721978,56.9984448625,61.83190975,52.304499875000005,92.52301213160348,82,58,65,76.83,58
503,15.4312930617347,6.453633490464368,66.3,56.620955401748205,64.4232009033072,65.69536965496295,66.9229467558784,54.958118432856374,50.52287255564689,50.406461170471296,51.084276172536796,67.07257900253883,68.81904711976699,53.23491349454822,72.0633502778462,79.07822555016101,64.02600804847603,68.16273085045809,73.00000000000001,81.25788745969102
504,14.611757370789999,6.19013244738974,72,55.27817038590403,60.348367249060615,58.27129010773554,59.41272522724609,51.15431493073616,49.74529550512505,49.48993813176547,51.86088210755718,57.463641349735404,59.95278398723929,48.75239304473768,62.79476727793627,68.69035793128809,70.92385682748476,69,73,75.84264427631857
505,15.176077009134987,6.1890310799124535,72,55.799999,62.467365,58.87711850625,60.042650625,55.49327725,51.233661875,50.924005124999994,52.703078500000004,55.99219375625,59.035000125,51.754257624999994,70.09347453475303,72,47,50,56.57999999999999,52
506,15.213902988842241,6.287936268752314,66.3,58.15581692434653,62.6330956817783,61.92337468380112,63.351077940949345,55.48018587726933,52.47288414527708,52.26461212033006,53.913337655247574,59.32019994497232,62.425677274264636,52.116945471261836,70.56671279228928,74.8068800046531,51,71,75.39,78.39317460177334
507,15.149764278503485,6.248566585150267,66.3,56.31608708658863,62.874676868872065,60.452947234678156,61.900864515380924,53.43162962928209,50.47352016318537,50.186598601893046,52.07114882213243,58.839574883212485,61.85112828843836,50.69426802138717,69.12617010946072,74.29371973212785,52.16086939728767,60.895168727607306,65.99571950038485,68.05603812489498
508,16.56784753684783,7.029625606115839,90.1,80.699997,77.542068,89.175529775,95.18808125,72.5753825,100.71153968125,109.1643775,82.135412125,78.22034559375,87.536527875,62.688009375,87.23440228211841,96,78,87.99999999999999,78.57,93
509,16.31545029351076,6.491526924004077,90.1,77.900002,72.39856,73.86710093125,77.168505375,61.34843387499999,108.9952835625,119.6786025,87.950210375,58.46494171875,65.1384855,51.548618,85.25065813754098,92,70,85,78.57,79
510,16.12891745495999,5.956409166451913,65.7,70,67.392616,64.97122595,77.57232475,59.68962125,106.462838125,107.86773875000002,102.77599374999998,49.53555564375,65.70755175,49.056342375,83.93025136687605,76,64,74,78.57,78
