gender,occ,jtitle,num
Men,90,商品仕入外交員,27120
Women,90,商品仕入外交員,5820
Men,91,不動産仲介・売買人,57410
Women,91,不動産仲介・売買人,17480
Men,92,保険代理・仲立人（ブローカー）,22130
Women,92,保険代理・仲立人（ブローカー）,8360
Men,93,その他の販売類似職業従事者,115770
Women,93,その他の販売類似職業従事者,155320
Men,94,医薬品営業職業従事者,90140
Women,94,医薬品営業職業従事者,10570
Men,95,機械器具・通信・システム営業職業従事者,579550
Women,95,機械器具・通信・システム営業職業従事者,41580
Men,96,金融・保険営業職業従事者,249540
Women,96,金融・保険営業職業従事者,234720
Men,97,不動産営業職業従事者,99960
Women,97,不動産営業職業従事者,22270
Men,98,その他の営業職業従事者,1467880
Women,98,その他の営業職業従事者,189760
Men,99,家政婦（夫），家事手伝い,340
Women,99,家政婦（夫），家事手伝い,10730
Men,100,その他の家庭生活支援サービス職業従事者,1450
Women,100,その他の家庭生活支援サービス職業従事者,10930
Men,101,介護職員（医療・福祉施設等）,320130
Women,101,介護職員（医療・福祉施設等）,942120
Men,102,訪問介護従事者,28040
Women,102,訪問介護従事者,262120
Men,103,看護助手,11220
Women,103,看護助手,130520
Men,104,その他の保健医療サービス職業従事者,12510
Women,104,その他の保健医療サービス職業従事者,170370
Men,105,理容師,98380
Women,105,理容師,70180
Men,106,美容師,87230
Women,106,美容師,262890
Men,107,美容サービス従事者（美容師を除く）,6170
Women,107,美容サービス従事者（美容師を除く）,109480
Men,108,浴場従事者,15310
Women,108,浴場従事者,25840
Men,109,クリーニング職，洗張職,45450
Women,109,クリーニング職，洗張職,69380
Men,110,調理人,746030
Women,110,調理人,1092580
Men,111,バーテンダー,6130
Women,111,バーテンダー,1390
Men,112,飲食店主・店長,63350
Women,112,飲食店主・店長,62480
Men,113,旅館主・支配人,17700
Women,113,旅館主・支配人,7760
Men,114,飲食物給仕・身の回り世話従事者,202700
Women,114,飲食物給仕・身の回り世話従事者,757530
Men,115,接客社交従事者,3620
Women,115,接客社交従事者,24540
Men,116,娯楽場等接客員,188840
Women,116,娯楽場等接客員,233980
Men,117,マンション・アパート・下宿・寄宿舎・寮管理人,101390
Women,117,マンション・アパート・下宿・寄宿舎・寮管理人,49210
Men,118,ビル管理人,39410
Women,118,ビル管理人,8440
Men,119,駐車場管理人,49730
Women,119,駐車場管理人,8210
Men,120,旅行・観光案内人,7630
Women,120,旅行・観光案内人,9630
Men,121,物品一時預り人,850
